id_user;name;last_name;mail;password;rol;state
1;Carlos;Gómez;carlos.gomez@mail.com;pass123;admin;active
2;Ana;Rodríguez;ana.rodriguez@mail.com;ana456;student;active
3;Luis;Pérez;luis.perez@mail.com;luis789;teacher;inactive
4;Marta;Jiménez;marta.jimenez@mail.com;mar123;student;active
5;Juan;Torres;juan.torres@mail.com;juan321;student;active
6;Sofía;Morales;sofia.morales@mail.com;sof654;student;inactive
7;Pedro;Sánchez;pedro.sanchez@mail.com;ped987;teacher;active
8;Laura;Herrera;laura.herrera@mail.com;lau456;student;active
9;Andrés;Castro;andres.castro@mail.com;and321;student;inactive
10;Valentina;Díaz;valentina.diaz@mail.com;val999;student;active
11;Ricardo;Romero;ricardo.romero@mail.com;ric111;teacher;active
12;Camila;Ruiz;camila.ruiz@mail.com;cam222;student;inactive
13;Javier;López;javier.lopez@mail.com;jav333;admin;active
14;Daniela;Vargas;daniela.vargas@mail.com;dan444;student;active
15;Esteban;Martínez;esteban.martinez@mail.com;est555;teacher;active
